order_month,region,product_category,total_sales,total_net_sales,total_quantity,total_orders,total_customers,total_profit,returns_count,avg_order_value,return_rate,profit_margin_%
1,Central,Furniture,24220.58,24220.58,177,20,20,-7498.073,0,1211.029,0.0,-30.957446105749735
1,Central,Office Supplies,10301.460000000001,10301.460000000001,498,43,47,1678.0814599999999,0,239.56883720930236,0.0,16.28974397803806
1,Central,Technology,25177.61,25177.61,219,24,23,5431.6788719999995,0,1049.0670833333334,0.0,21.573449076381753
1,East,Furniture,22989.89,22989.89,213,21,22,-6211.991098320001,0,1094.7566666666667,0.0,-27.02053423622297
1,East,Office Supplies,13013.27,13013.27,503,42,42,1388.6185,0,309.83976190476193,0.0,10.670788356808089
1,East,Technology,10057.4,10057.4,84,14,14,-3142.5858399999993,0,718.3857142857142,0.0,-31.246503470081727
1,South,Furniture,14943.91,14943.91,168,16,16,-214.92449999999985,0,933.994375,0.0,-1.4382079388861406
1,South,Office Supplies,19838.34,19838.34,311,37,36,-1756.0557300000005,0,536.1713513513514,0.0,-8.85182797552618
1,South,Technology,38274.59,38274.59,236,23,23,4649.78712,0,1664.112608695652,0.0,12.1484962216447
1,West,Furniture,15835.550000000001,15835.550000000001,83,9,10,3267.7197000000006,0,1759.5055555555557,0.0,20.63534073650742
1,West,Office Supplies,25626.93,25359.399999999998,518,41,41,-253.26560000000092,1,625.0470731707317,0.024390243902439025,-0.9882791266843157
1,West,Technology,31575.34,31575.34,299,18,20,2165.5116359999997,0,1754.1855555555555,0.0,6.858236953267961
2,Central,Furniture,30995.489999999998,30995.489999999998,258,21,20,6977.218039599999,0,1475.9757142857143,0.0,22.510429870926384
2,Central,Office Supplies,15884.62,15884.62,639,48,49,3272.2366999999995,0,330.92958333333337,0.0,20.600031351080474
2,Central,Technology,23398.56,23398.56,291,22,22,9723.47784,0,1063.5709090909093,0.0,41.55588138757256
2,East,Furniture,34111.94,34111.94,248,12,12,-5264.45950008,0,2842.661666666667,0.0,-15.432893878448425
2,East,Office Supplies,14138.11,13799.75,669,26,28,2184.5979,2,543.7734615384616,0.07692307692307693,15.451838329168469
2,East,Technology,10997.24,10768.94,224,12,12,-197.1471800000005,1,916.4366666666666,0.08333333333333333,-1.7926968948572597
2,South,Furniture,12217.4,12217.4,136,16,15,-3232.4408000000003,0,763.5875,0.0,-26.45768166713049
2,South,Office Supplies,3129.12,3129.12,312,20,20,-4738.5888632,0,156.456,0.0,-151.43519146597126
2,South,Technology,16407.87,16407.87,177,19,19,-612.6805000000002,0,863.5721052631578,0.0,-3.7340648115812733
2,West,Furniture,37815.66,31129.32,214,17,16,11121.8957,1,2224.450588235294,0.058823529411764705,29.410820014776938
2,West,Office Supplies,8498.55,7881.15,667,34,31,-63.014500000000055,1,249.95735294117645,0.029411764705882353,-0.741473545487172
2,West,Technology,44106.17,43825.55,303,20,19,5433.913943999999,1,2205.3085,0.05,12.32007663326922
